id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
6No2T81Yvpe7yDAlBMYLDa,DOPE,Lil GZ,20,2020-10-23,rap espanol,0.742,0.695,0.754,130.035,-7.444,152416,2,1
55nvFPmu9hNvbztG7eFu5t,Carl Sagan,Lil GZ,18,2020-10-23,rap espanol,0.671,0.68,0.389,130.102,-6.334,201076,0,1
0n53J7XrcGJqXCSDR2T9q4,Rolas,Hard GZ,48,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.868,0.686,0.825,91.517,-8.924,189256,10,0
2auaKRSr0MbHAQNC0RruwO,Dinero,Hard GZ,36,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.733,0.567,0.695,124.48,-8.597,156561,6,0
5qSz7VnDbNypSdHRVvtkPr,Espantapájaros,Hard GZ,38,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.693,0.557,0.461,93.089,-9.984,190926,1,1
05wpkR7tKrcso4Sb3xNB2r,Estorbando,Hard GZ,26,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.686,0.834,0.819,95.79,-5.413,168204,10,1
6U4wdeB0dIWNe9qgY5nS37,Weah,Hard GZ,38,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.565,0.505,0.313,96.857,-11.309,202942,6,0
5S3Y12ouNYbYLHbHJ5PnB8,Escuela,Hard GZ,35,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.634,0.591,0.791,125.472,-7.646,209537,5,0
2Q6wC78LVUfC6amo5ru7gE,Atrapado Aquí,Hard GZ,28,2018-11-23,"rap politico, rap underground espanol, spanish hip hop",0.484,0.662,0.605,85.815,-9.013,228299,5,1
3Dtr35IhxPsDfECZ5vuREk,Guerra,Hard GZ,22,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.649,0.591,0.816,176.023,-10.923,212509,6,0
