id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode,genre_list,user,rating
5r8mGKhCDIVWb3AG4hm0l0,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,59,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.647,0.676,0.41,164.51,-6.025,193767,8,1,"['pop', 'r&b en espanol']",1,4.7
0CaiddWO1F3v4nTQGgfk9A,DE AQUÍ NO SALES - Cap.4: Disputa,ROSALÍA,47,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.802,0.448,0.218,124.891,-8.213,144541,11,0,"['pop', 'r&b en espanol']",1,3.9
5meAAp6VRNKT4cR3CvKkfU,RENIEGO - Cap.5: Lamento,ROSALÍA,44,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.246,0.21,0.307,124.37,-7.343,208197,10,0,"['pop', 'r&b en espanol']",1,2.0
1Yaw3jxKlBUXkfIo2FHG2M,PRESO - Cap.6: Clausura,ROSALÍA,43,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.559,0.291,0.359,76.543,-18.795,40690,6,1,"['pop', 'r&b en espanol']",1,4.7
2Sfl7odHUmG7qc8SbqUyzE,DI MI NOMBRE - Cap.8: Éxtasis,ROSALÍA,58,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.794,0.534,0.547,91.871,-6.47,162377,8,0,"['pop', 'r&b en espanol']",1,4.3
0r6AxesiTSiCyJIIOpVYrv,NANA - Cap.9: Concepción,ROSALÍA,44,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.345,0.0718,0.103,115.119,-10.683,197207,2,0,"['pop', 'r&b en espanol']",1,3.5
5IIXMynH8cxC8is6MaqdF7,MALDICIÓN - Cap.10: Cordura,ROSALÍA,45,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.439,0.31,0.372,103.993,-8.118,175254,8,1,"['pop', 'r&b en espanol']",1,4.7
0RhO0RV0YKyF05kZ4uQOHW,A NINGÚN HOMBRE - Cap.11: Poder,ROSALÍA,52,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.555,0.149,0.408,107.785,-6.599,94224,0,1,"['pop', 'r&b en espanol']",1,2.1
2FYGZDfsAnNsrm1gVbyKnG,SAOKO,ROSALÍA,62,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.827,0.768,0.734,99.988,-5.702,137533,0,1,"['pop', 'r&b en espanol']",1,3.4
70AYiGbc4mWZGEqiipBBDb,CANDY,ROSALÍA,59,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.638,0.49,0.403,179.905,-5.726,193480,4,0,"['pop', 'r&b en espanol']",1,3.6
6Y46tOTRhkBamosyuWa6YX,LA FAMA,ROSALÍA,71,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.766,0.295,0.805,136.016,-7.893,188107,0,0,"['pop', 'r&b en espanol']",1,4.1
5tmrMIajDQRBcJQPaoAGdk,BULERÍAS,ROSALÍA,49,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.774,0.458,0.757,127.33,-6.301,155880,0,1,"['pop', 'r&b en espanol']",1,5.0
6hH6QJ9ZAO0Z6m7PfvLoXW,CHICKEN TERIYAKI,ROSALÍA,56,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.788,0.4,0.558,97.936,-6.454,122227,2,1,"['pop', 'r&b en espanol']",1,4.8
4kroNlz8BTfswE4M0i3YCh,HENTAI,ROSALÍA,53,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.583,0.297,0.291,124.279,-11.273,162907,7,0,"['pop', 'r&b en espanol']",1,3.7
4kXxEhuatrvwrTQycA7s9B,BIZCOCHITO,ROSALÍA,63,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.93,0.774,0.781,116.972,-4.203,109120,1,1,"['pop', 'r&b en espanol']",1,3.9
2MismgPSA3HxJUEV2pEl25,G3 N15,ROSALÍA,50,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.499,0.0688,0.0998,64.987,-16.364,252120,0,1,"['pop', 'r&b en espanol']",1,2.7
6ygEPi8EtVkUO0Xarcgs63,MOTOMAMI,ROSALÍA,54,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.887,0.331,0.686,120.022,-7.669,61347,2,1,"['pop', 'r&b en espanol']",1,4.7
4QlMiL1BPCBzLfn1XbSkpg,DIABLO,ROSALÍA,53,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.753,0.277,0.328,88.019,-8.823,165520,0,1,"['pop', 'r&b en espanol']",1,3.1
6lKZ5I0yW3IpUFHEKJCWlx,DELIRIO DE GRANDEZA,ROSALÍA,51,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.647,0.239,0.298,101.609,-10.51,155480,1,1,"['pop', 'r&b en espanol']",1,3.6
3BQPPsoxlhuSIEPlNRHHZt,CUUUUuuuuuute,ROSALÍA,48,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.558,0.487,0.161,138.818,-9.01,150600,1,1,"['pop', 'r&b en espanol']",1,4.6
5gCNf9wMVrYuM2fvfgLTlF,LA COMBI VERSACE,ROSALÍA,63,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.835,0.495,0.426,90.97,-5.791,161267,8,1,"['pop', 'r&b en espanol']",1,2.4
15pRGUlhmCxtewBs42ui1N,SAKURA,ROSALÍA,48,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.317,0.305,0.137,86.91,-10.215,201613,5,0,"['pop', 'r&b en espanol']",1,3.5
53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,ROSALÍA,77,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.914,0.622,0.77,130.04,-6.538,156788,7,1,"['pop', 'r&b en espanol']",1,3.0
3VjCEyc0bHfa4Ie34kbWyb,CANDY - Remix,ROSALÍA,56,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.738,0.674,0.556,179.979,-3.837,204655,4,0,"['pop', 'r&b en espanol']",1,3.4
3SxJJJbmgDeLpWHa54LIWK,AISLAMIENTO,ROSALÍA,43,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.498,0.271,0.391,87.18,-9.568,206870,2,0,"['pop', 'r&b en espanol']",1,3.8
1xtfUae857RhiCclSlAOIV,LA KILIÉ,ROSALÍA,45,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.617,0.507,0.9,181.879,-7.077,131087,6,0,"['pop', 'r&b en espanol']",1,3.7
2N3YZ075lq9z1ObaAiX6l1,LAX,ROSALÍA,45,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.651,0.327,0.551,135.325,-10.07,89749,4,1,"['pop', 'r&b en espanol']",1,2.3
3CBaIz3eftJCf9GHycFanL,CHIRI,ROSALÍA,46,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.407,0.556,0.474,161.985,-6.098,120991,4,0,"['pop', 'r&b en espanol']",1,4.7
5EbsCDXjzmwtHm70q87VHt,Abcdefg,ROSALÍA,37,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.627,0.167,0.37,172.575,-17.881,65961,7,1,"['pop', 'r&b en espanol']",1,4.2
1nsHEIMiqiPzlwaZu5ykZG,Thank Yu :),ROSALÍA,39,2022-09-09,"{9: 'pop', 162: 'r&b en espanol'}",0.619,0.142,0.697,129.634,-28.669,34918,1,1,"['pop', 'r&b en espanol']",1,4.0
0lEaqq59YmCxJNB6cb209Y,Si Tú Supieras Compañero,ROSALÍA,40,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.391,0.215,0.13,142.835,-10.75,364657,8,1,"['pop', 'r&b en espanol']",1,2.6
6ZpYO78uVWjZ6AoxSxnAri,De Plata,ROSALÍA,38,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.516,0.223,0.252,94.916,-8.47,268511,6,1,"['pop', 'r&b en espanol']",1,3.6
1QzfazYi9a86Bf0h71xbH1,Nos Quedamos Solitos,ROSALÍA,37,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.309,0.315,0.191,88.124,-12.039,315046,7,1,"['pop', 'r&b en espanol']",1,4.5
0c7XKJjw6heRqQX7PzkUIj,Catalina,ROSALÍA,50,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.441,0.267,0.324,77.558,-9.64,214012,6,0,"['pop', 'r&b en espanol']",1,4.0
623kdaD0Wi2L0L6GyZvXUP,Día 14 De Abril,ROSALÍA,33,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.271,0.156,0.0914,160.013,-11.202,366059,7,1,"['pop', 'r&b en espanol']",1,3.8
4qEG0SIXAnjnd8KFH4T9Eg,Que Se Muere Que Se Muere,ROSALÍA,43,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.539,0.153,0.359,142.064,-8.697,88546,4,1,"['pop', 'r&b en espanol']",1,2.1
2gp9YVRrqL5N9MgjTwunux,Por Mi Puerta No Lo Pasen,ROSALÍA,33,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.402,0.196,0.185,99.605,-8.625,279627,10,0,"['pop', 'r&b en espanol']",1,3.9
5r3n7YYY1jtl8pqvZr1DAD,Te Venero,ROSALÍA,33,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.465,0.175,0.242,65.091,-11.124,246298,3,1,"['pop', 'r&b en espanol']",1,4.7
5bu6hDqiYju5JPcBUxGTjC,Por Castigarme Tan Fuerte,ROSALÍA,32,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.426,0.436,0.52,99.203,-6.779,128117,5,1,"['pop', 'r&b en espanol']",1,3.4
2iCuj1KMxtGU5rP2GY9VaP,La Hija De Juan Simón,ROSALÍA,35,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.411,0.117,0.295,100.056,-11.736,249277,6,1,"['pop', 'r&b en espanol']",1,4.8
0JRUe91TOCuUtwczlhbhsG,El Redentor,ROSALÍA,29,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.257,0.367,0.206,95.224,-8.019,181482,5,0,"['pop', 'r&b en espanol']",1,3.5
7c6ivZorDH6A98fBNFmCjX,I See A Darkness,ROSALÍA,33,2017-02-10,"{9: 'pop', 162: 'r&b en espanol'}",0.486,0.15,0.125,111.468,-13.15,248741,7,1,"['pop', 'r&b en espanol']",1,2.4
5m9l5wILQ9iiLd8csLeR5v,Dio$ No$ Libre Del Dinero,ROSALÍA,46,2019-07-03,"{9: 'pop', 162: 'r&b en espanol'}",0.583,0.439,0.232,61.837,-8.562,108000,8,0,"['pop', 'r&b en espanol']",1,2.6
2K3bjojp1sCLdMMoO5lJ2p,Milionària,ROSALÍA,53,2019-07-03,"{9: 'pop', 162: 'r&b en espanol'}",0.857,0.574,0.906,116.008,-6.441,138371,8,1,"['pop', 'r&b en espanol']",1,2.4
7dQFpbs34ufIEU745DVclf,Aute Cuture,ROSALÍA,53,2019-05-30,"{9: 'pop', 162: 'r&b en espanol'}",0.747,0.643,0.538,99.981,-6.991,147626,7,1,"['pop', 'r&b en espanol']",1,3.6
3ZwQCZ2LuYwuQ6R1p1CJ3w,Juro Que,ROSALÍA,49,2020-01-23,"{9: 'pop', 162: 'r&b en espanol'}",0.645,0.495,0.627,81.852,-6.77,170075,11,0,"['pop', 'r&b en espanol']",1,4.9
23zJcKwLf5CeaKVbFhrWgF,A Palé,ROSALÍA,54,2019-11-07,"{9: 'pop', 162: 'r&b en espanol'}",0.63,0.409,0.332,122.848,-8.83,143773,0,0,"['pop', 'r&b en espanol']",1,4.4
011qNICSJXz8maxvRLuBlO,Un Millón de Veces,ROSALÍA,24,2015-03-30,{55: 'unknown'},0.578,0.719,0.54,169.814,-4.504,278000,11,1,['unknown'],1,4.7
